Row,Module,Panel,Article,Description,Qty,L,W,H,Posnum,Info,UOM,FloorGroup,Module_Panel,DesignRevision
1,403-LM-00-F,403-LM-00-F,TIM-0027,Treated (C24) - 3200 x 45 x 95,1,3200,45,95,,,EA,,403-LM-00-F_GF-FLOOR,F
2,403-LM-00-F,403-LM-00-F_FLOOR,TIM-0028,Treated (C24) - 3200 x 45 x 95,1,3200,45,95,,,EA,,403-LM-00-F_GF-FLOOR,F
